State,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14
Alabama,4,4,4,4,4
Alaska,0,0,0,0,0
Arizona,0,0,0,0,0
Arkansas,1.5,1.5,1.5,1.5,1.5
California,6.5,6.5,0,6.5,0
Colorado,2.91,2.91,0,0,0
Connecticut,6.35,6.35,0,0,0
Delaware,0,0,0,0,0
District of Columbia,5.75,5.75,0,5.75,0
Florida,6,6,0,6,0
Georgia,0,4,0,4,0
Hawaii,4,4,4,4,4
Idaho,6,6,6,6,6
Illinois,6.25,6.25,1,1,1
Indiana,7,7,0,7,0
Iowa,6,6,0,6,0
Kansas,6.15,6.15,6.15,6.15,6.15
Kentucky,6,6,0,6,0
Louisiana,0,0,0,0,0
Maine,5.5,5.5,0,5.5,0
Maryland,6,6,0,0,0
Massachusetts,0,0,0,0,0
Michigan,0,0,0,0,0
Minnesota,6.876420455,6.887784091,0.07954545455,6.887784091,0.07954545455
Mississippi,7,8,7,8,7
Missouri,1.225,1.225,1.225,1.225,1.225
Montana,0,0,0,0,0
Nebraska,0,5.5,0,5.5,0
Nevada,0,0,0,0,0
New Hampshire,0,0,0,0,0
New Jersey,7,7,0,7,0
New Mexico,0,5.125,0,5.125,0
New York,4,4,0,4,0
North Carolina,4.75,4.75,0,4.75,0
North Dakota,5,5,0,0,0
Ohio,5.75,5.75,0,0,0
Oklahoma,4.5,4.5,4.5,4.5,4.5
Oregon,0,0,0,0,0
Pennsylvania,6,6,0,0,0
Rhode Island,7,7,0,0,0
South Carolina,0,6,0,6,0
South Dakota,4,4,4,4,4
Tennessee,5,5,5,5,5
Texas,6.25,6.25,0,6.25,0
Utah,1.75,1.75,1.75,1.75,1.75
Vermont,0,0,0,0,0
Virginia,1.5,5.3,1.5,5.3,1.5
Washington,6.5,6.5,0,6.5,0
West Virginia,6,6,0,6,0
Wisconsin,5,5,0,0,0
Wyoming,0,4,0,4,0