State,averageAnnualSunlight(kj/m^2),AverageTemperature(F),overall(happpiness_rank),totalScore,emotAndPhysRank,workEnvironRank,communityAndEnvironRank,College(grad_rate)
Arizona,5755,60.3,21,52.92,27,12,34,30
New Mexico,5642,53.4,41,43.35,39,47,35,27
Nevada,5296,49.9,26,51.8,40,15,3,25
Texas,5137,64.8,22,52.56,11,28,49,30
California,5050,59.4,5,63.14,4,24,12,34
Colorado,4960,45.1,18,55.38,19,3,46,41
Oklahoma,4912,59.6,46,38.89,47,35,33,26
Kansas,4890,54.3,25,52.3,22,33,36,33
Utah,4887,48.6,2,67.84,18,1,2,34
Florida,4859,70.7,29,51.01,20,20,47,30
Louisiana,4725,66.4,48,37.15,44,50,41,24
Arkansas,4724,60.4,49,36.61,50,29,23,23
Mississippi,4693,63.4,43,41.63,42,46,26,22
Nebraska,4685,48.8,10,59.11,10,17,28,32
Georgia,4661,63.5,19,55.15,25,16,7,31
Alabama,4660,62.8,45,39.35,46,39,43,26
South Carolina,4624,62.4,36,48.26,38,32,13,28
Missouri,4545,54.6,42,42.76,45,34,21,29
Tennessee,4486,57.6,40,46.13,41,8,40,27
Wyoming,4471,42,35,48.9,31,43,22,27
North Carolina,4466,59,20,53.69,21,21,37,31
Kentucky,4383,55.6,44,39.42,48,19,19,24
Illinois,4380,51.8,23,52.47,12,45,44,35
Virginia,4354,55.1,15,57.35,15,25,27,39
South Dakota,4332,45.2,9,60.8,14,13,8,29
Iowa,4331,47.8,8,61.07,8,18,11,29
Indiana,4318,51.7,32,50.2,32,22,25,27
Maryland,4267,54.2,7,61.78,7,38,5,40
Idaho,4251,44.4,6,63.09,24,2,1,28
Delaware,4232,55.3,27,51.67,17,37,45,32
West Virginia,4146,51.8,50,33.42,49,48,32,21
Ohio,4139,50.7,37,48.19,35,36,16,28
New Jersey,4056,52.7,13,58.1,3,44,38,40
Wisconsin,4023,43.1,11,58.87,16,11,14,30
Michigan,4018,44.4,34,49.52,34,26,20,29
Rhode Island,3989,50.1,31,50.44,30,31,29,34
Connecticut,3988,49,12,58.24,9,40,18,39
Minnesota,3968,41.2,3,67.26,2,6,10,36
Massachusetts,3944,47.9,16,56.85,13,14,42,44
Pennsylvania,3939,48.8,30,50.54,28,41,15,31
North Dakota,3925,40.4,4,65.62,6,9,6,30
New York,3904,45.4,14,57.35,5,42,39,37
New Hampshire,3891,43.8,24,52.37,23,27,31,37
Montana,3847,42.7,28,51.08,37,7,17,32
Oregon,3830,48.4,39,48.05,43,4,24,34
Vermont,3826,42.9,38,48.18,26,23,48,38
Maine,3815,41,33,49.81,36,10,30,32
Washington,3467,48.3,17,56.44,29,5,9,36
Hawaii,,70,1,68.27,1,30,4,33
Alaska,,26.6,47,38.21,33,49,50,30